Title,Rating,Voting,Duration,Genre
Passagrana,6.5,129,100,Crime
Shina,7.5,7,98,Crime
Die Bloedhonde,6.3,10,97,Crime
Sangharshana,7.3,1600,102,Crime
Rangeli,9.4,93,140,Crime
Dai jia fa de ren,5.4,59,121,Crime
Novyy god v Beryozovke,7.1,99,94,Crime
Kaçkin,7.6,9,104,Crime
Kunstroof,7.0,43,102,Crime
Pinnil Oral,6.0,113,127,Crime
AK47,7.2,14,146,Crime
Koresha,3.0,63,86,Crime
Guxim,7.7,34,75,Crime
Above the Trees,6.5,14,125,Crime
Leha,2.3,42,98,Crime
What Lies Within,5.3,13,90,Crime
SMB-plush presents trick or death,8.8,16,120,Crime
La Tamalera,8.2,9,115,Crime
Downfall of the Crypto King (theatrical feature),6.2,28,90,Crime
Pink Butterfly,5.7,55,109,Crime
Liebling Kreuzberg 2.0,5.1,50,89,Crime
Yi xue qian chi,5.4,47,115,Crime
A Reel Heist,5.2,58,116,Crime
Mun Kaupunki,6.6,22,105,Crime
Beauty Grace Malice,7.6,44,81,Crime
Yurka,4.0,30,85,Crime
Mina and the Radio Bandits,7.3,44,110,Crime
Sharma & Ambani,9.1,183,104,Crime
Yaa Devi Sarva Bhuteshu,8.7,8,119,Crime
Shades of Sapphire,7.8,9,77,Crime
Ata Nirjon Duporiya,8.0,10,103,Crime
Real Estate Sisters,4.8,17,84,Crime
Dead Name,9.0,11,84,Crime
Thirsty for Likes,4.0,38,46,Crime
Spending Some Time Together,6.9,28,146,Crime
No Loose Ends,6.7,9,68,Crime
Who Do You Trust?,3.6,40,96,Crime
Bayamariya Brammai,8.8,25,88,Crime
7vens Law,9.4,20,68,Crime
Conviction,7.0,36,97,Crime
Vrutos,8.4,9,100,Crime
Netru Indha Neram,5.5,136,140,Crime
Water Mafia,9.2,12,45,Crime
Dheera Samrat,9.8,99,123,Crime
Full Clip for a Snitch,3.9,18,75,Crime
Chu men zai wai,5.0,16,102,Crime
El Junior Del Patron,7.4,10,92,Crime
Dawgz Life,8.0,11,143,Crime
Slapes,6.8,31,82,Crime
Quan yuan xian yi ren,3.6,19,96,Crime
So It Goes,3.3,19,77,Crime
Namak,4.5,13,75,Crime
Los Hijos De Camelia y Emilio,6.4,27,82,Crime
Nacida Para Vengar,8.0,9,102,Crime
Anti-Drug Operation,6.8,5,79,Crime
The AI Dharma Story,2.5,1100,89,Crime
The Burned Hand,8.0,12,85,Crime
The Kills,8.8,9,70,Crime
Jimmy's Friends,7.0,11,94,Crime
El Cartel De Teresa,8.0,9,96,Crime
El Juego Del Poder,7.8,10,95,Crime
Kenda,8.9,20,135,Crime
Randa Ramphal,8.5,8,70,Crime
Detroit Ransom,6.8,11,76,Crime
Lealtad o Morir,8.2,9,87,Crime
Der Wien-Krimi: Blind ermittelt - Tod im Palais,6.9,30,88,Crime
Las Hermanas Del Cartel,8.2,5,91,Crime
La Nueva Camelia,5.4,17,95,Crime
Duelo De Capos,6.3,27,83,Crime
Runnin' from Wolves,7.2,10,133,Crime
Beautifully Broken People,8.9,9,75,Crime
Cageling,5.9,8,69,Crime
The Life of Chuck,7.6,541,110,Fantasy
Mufasa: The Lion King,6.6,63000,118,Fantasy
Nosferatu,7.2,193000,132,Fantasy
Wicked,7.5,157000,160,Fantasy
Moana 2,6.6,102000,100,Fantasy
Flow,7.9,74000,85,Fantasy
Sonic the Hedgehog 3,6.9,59000,110,Fantasy
Parthenope,6.6,11000,137,Fantasy
Transformers One,7.6,50000,104,Fantasy
Better Man,7.6,27000,135,Fantasy
Beetlejuice Beetlejuice,6.6,147000,105,Fantasy
The Crow,4.7,35000,111,Fantasy
Inside Out 2,7.5,216000,96,Fantasy
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Fantasy
Megalopolis,4.7,35000,138,Fantasy
IF,6.4,58000,104,Fantasy
Red One,6.3,140000,123,Fantasy
Solo Leveling: ReAwakening,8.7,12000,121,Fantasy
Damsel,6.1,109000,110,Fantasy
Godzilla x Kong: The New Empire,6.0,121000,115,Fantasy
Ghostbusters: Frozen Empire,6.1,93000,115,Fantasy
The Watched,5.7,57000,102,Fantasy
Kung Fu Panda 4,6.3,68000,94,Fantasy
The Balconettes,6.1,907,104,Fantasy
Uglies,4.7,33000,100,Fantasy
The Garfield Movie,5.7,24000,101,Fantasy
Harold and the Purple Crayon,5.7,8300,90,Fantasy
Descendants: The Rise of Red,4.7,7000,91,Fantasy
Monster Summer,5.7,3700,97,Fantasy
Kalki 2898-AD,7.0,66000,180,Fantasy
Spellbound,5.5,7400,109,Fantasy
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Fantasy
The Wonderful Story of Henry Sugar and Three More,7.1,6700,88,Fantasy
The Tearsmith,5.2,12000,103,Fantasy
Dear Santa,5.4,19000,107,Fantasy
The End,5.5,1900,148,Fantasy
Girl Haunts Boy,6.3,3000,100,Fantasy
Thelma the Unicorn,5.7,2900,93,Fantasy
Family Pack,5.5,9100,94,Fantasy
The Best Christmas Pageant Ever,6.8,6100,99,Fantasy
Buffalo Kids,6.6,691,93,Fantasy
Harry Potter and the Stone,7.8,165,152,Fantasy
Hagen,6.1,1200,139,Fantasy
Orion and the Dark,6.3,17000,93,Fantasy
Irish Wish,5.2,21000,93,Fantasy
The Thundermans Return,5.0,1800,70,Fantasy
The American Society of Magical Negroes,3.7,12000,104,Fantasy
Hanu Man,7.7,29000,158,Fantasy
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,Fantasy
This Is Me... Now,4.1,7100,65,Fantasy
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,Fantasy
Pedro Páramo,6.3,2900,130,Fantasy
Cinderella's Revenge,3.7,1100,85,Fantasy
The Sand Castle,4.6,1700,98,Fantasy
Timestalker,5.5,3000,89,Fantasy
That Christmas,6.8,17000,91,Fantasy
Hot Frosty,5.3,15000,92,Fantasy
Sketch,8.3,50,92,Fantasy
Ultraman: Rising,6.9,6400,117,Fantasy
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,Fantasy
Bhool Bhulaiyaa 3,4.6,77000,158,Fantasy
Dan Da Dan: First Encounter,8.2,2700,83,Fantasy
Woody Woodpecker Goes to Camp,4.5,2600,100,Fantasy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3900,82,Fantasy
10 Lives,5.9,1900,88,Fantasy
Doraemon the Movie: Nobita's Earth Symphony,6.6,1500,115,Fantasy
Cinderella's Curse,3.3,1300,82,Fantasy
Dragonkeeper,5.7,1700,98,Fantasy
Mars,7.9,23,84,Fantasy
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,94,Fantasy
200% Wolf,5.9,1300,98,Fantasy
Angels Fallen: Warriors of Peace,4.9,5800,103,Fantasy
Alienoid: The Return to the Future,6.5,2600,122,Fantasy
The Tiger's Apprentice,5.7,2200,84,Fantasy
Overlord: The Sacred Kingdom,6.9,979,135,Fantasy
Else,6.1,238,102,Fantasy
Panda Bear in Africa,5.5,347,84,Fantasy
Woodwalkers,5.3,434,103,Fantasy
Seven Cemeteries,4.6,569,84,Fantasy
Gaami,6.4,2000,147,Fantasy
Kanguva,4.5,15000,152,Fantasy
Unspeakable: Beyond the Wall of Sleep,6.1,52,90,Fantasy
Super-Charlie,5.8,121,80,Fantasy
A.R.M,7.1,8700,150,Fantasy
Lesbian Space Princess,7.2,137,87,Fantasy
Vincent,7.3,49,92,Fantasy
Rebellious,6.0,195,94,Fantasy
Devil's Knight,5.2,891,90,Fantasy
Chantal in Fairyland,4.6,2600,118,Fantasy
Nonostante,6.0,157,93,Fantasy
Ryan's World the Movie: Titan Universe Adventure,1.8,693,80,Fantasy
The Night Before Christmas in Wonderland,6.3,516,80,Fantasy
Man and Witch: The Dance of a Thousand Steps,5.5,332,94,Fantasy
Witch,5.0,1400,107,Fantasy
Elli and the Ghostly Ghost Train,5.1,99,86,Fantasy
The Opera!,7.1,73,106,Fantasy
Thangalaan,6.6,6600,156,Fantasy
Cells at Work!,6.7,234,109,Fantasy
Dongeng Sang Kancil,6.7,173,99,Fantasy
A Dog's Will 2,6.2,3000,104,Fantasy
Robin and the Hoods,4.3,512,100,Fantasy
Balestra,5.1,529,145,Fantasy
Schneewittchen,4.8,7,70,Fantasy
Mononoke the Movie: The Phantom in the Rain,6.8,1200,89,Fantasy
School of Magical Animals 3,5.8,315,105,Fantasy
Warchief,2.5,608,94,Fantasy
Big City Greens the Movie: Spacecation,6.2,542,83,Fantasy
Patsy Lee & the Keepers of the 5 Kingdoms,4.0,219,109,Fantasy
The Invisibles,5.8,463,111,Fantasy
Lady Parts,8.9,40,79,Fantasy
White Snake: Afloat,6.9,475,133,Fantasy
Assassin's Guild,3.6,118,103,Fantasy
Dalia y el Libro Rojo,6.5,91,107,Fantasy
Orang Ikan,6.7,34,83,Fantasy
Nyctophobia,7.5,1800,90,Fantasy
Tim Travers & the Time Travelers Paradox,6.9,278,95,Fantasy
Barroz,3.5,1000,155,Fantasy
Mayan,8.7,131,113,Fantasy
Fureru,6.2,35,107,Fantasy
The Witch: Revenge,5.3,823,100,Fantasy
"Die Heinzels: Neue Mützen, Neue Mission",6.4,91,76,Fantasy
Oshi no Ko: The Final Act,6.8,125,129,Fantasy
Ghost Cat Anzu,6.5,768,97,Fantasy
My Oni Girl,6.0,1700,112,Fantasy
"Maya, donne-moi un titre",6.4,53,61,Fantasy
Ooru Peru Bhairavakona,5.7,1700,133,Fantasy
Respati,5.8,293,112,Fantasy
SuperKlaus,4.3,203,88,Fantasy
Loch Ness Monster Captured,3.3,32,45,Fantasy
Una ballena,6.1,76,108,Fantasy
The Sleeping Woman,5.2,569,110,Fantasy
Heartsping : Teenieping of Love,7.1,24,0,Fantasy
Diplodocus,6.3,177,90,Fantasy
Umro Ayyar - A New Beginning,6.9,675,135,Fantasy
The Phantom Warrior,2.4,555,119,Fantasy
Seven Seas Seven Hills,8.7,89,90,Fantasy
Si Juki the Movie: Harta Pulau Monyet,6.0,118,107,Fantasy
Un cuento de pescadores,7.3,39,103,Fantasy
King Baby,7.0,24,88,Fantasy
Hanami,6.8,102,96,Fantasy
The Casagrandes Movie,5.6,667,89,Fantasy
A Trip Elsewhere,5.6,101,93,Fantasy
Princesa Adormecida,3.8,167,80,Fantasy
STEVE (A Minecraft Movie),6.9,12,61,Fantasy
The Yin Yang Master Zero,5.7,275,112,Fantasy
The Proud Princess,6.7,113,84,Fantasy
Malaikottai Vaaliban,6.0,4100,156,Fantasy
Yi ren zhi xia,5.2,208,134,Fantasy
My Future You,8.3,50,109,Fantasy
Shrek 5: The Contract - A Fan Made Film,7.0,19,84,Fantasy
Once Upon a Christmas Wish,6.1,321,90,Fantasy
The Lost Tiger,7.9,45,90,Fantasy
The Epidemic,5.7,72,95,Fantasy
Perdiendo el Juicio,7.5,21,90,Fantasy
Bremenskie muzykanty,4.6,670,115,Fantasy
Kajolrekha,6.3,177,156,Fantasy
Empire Queen,3.2,204,148,Fantasy
The Seductress from Hell,6.7,18,102,Fantasy
Spirit Riser,6.7,33,98,Fantasy
"Don't Cry, Butterfly",6.4,118,97,Fantasy
We Work for the Dead,6.7,509,84,Fantasy
The Time Travel Hills,5.4,72,82,Fantasy
Vertical,5.2,132,111,Fantasy
God with Three Eyes,6.1,14,112,Fantasy
The Gesuidouz,6.8,57,93,Fantasy
The Vord,3.4,65,101,Fantasy
Enchanting Christmas,6.3,354,91,Fantasy
The Sisters,4.7,151,122,Fantasy
Bodegón con fantasmas,6.5,158,88,Fantasy
"Zak & Wowo, la légende de Lendarys",5.7,96,85,Fantasy
The Fisherman,7.2,44,105,Fantasy
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0,33,50,Fantasy
Dr. Sander's Sleep Cure,7.0,855,98,Fantasy
The Magic Reindeer Saving Santa's Sleigh,6.2,333,86,Fantasy
Pechi,5.6,1500,110,Fantasy
Hold Me Close,7.4,12,98,Fantasy
Schirkoa: In Lies We Trust,5.6,158,103,Fantasy
Dragon Ball Kai: Doragon Bôru Kai,8.5,71,82,Fantasy
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9,84,138,Fantasy
Bhairadevi,8.7,49,134,Fantasy
Rita,5.8,272,107,Fantasy
Don Dukun,7.0,53,98,Fantasy
Dead Dead Demon's Dededede Destruction,7.0,145,120,Fantasy
Spirit World,5.8,59,94,Fantasy
The Jester from Transylvania,4.8,37,102,Fantasy
Askepote,3.5,83,72,Fantasy
Letters at Christmas,3.7,172,84,Fantasy
Captain Avispa,5.8,177,96,Fantasy
The Woods Are Real,2.4,458,80,Fantasy
Saint Young Men: Holy Men vs Demon Army,3.0,13,93,Fantasy
La Balada de Hortensia,6.7,129,94,Fantasy
The Evil Fairy Queen,5.5,50,90,Fantasy
Apollon by Day Athena by Night,6.6,18,112,Fantasy
Carol,8.3,47,115,Fantasy
Intercambiadas,6.4,56,97,Fantasy
Fûto Tantei: Kamen Rider Skull no Shôzô,7.5,42,82,Fantasy
Universal Groove,5.5,170,74,Fantasy
The Slave and the Sorcerer,6.7,40,86,Fantasy
Po ke wang zhe,5.6,85,103,Fantasy
O Velho e a Espada,7.4,37,63,Fantasy
Domovyonok Kuzya,6.5,821,90,Fantasy
River of Ghosts,3.0,305,102,Fantasy
Witch Hunter,5.3,24,80,Fantasy
Letuchiy korabl,3.8,297,100,Fantasy
White Cobra Diamond Fox vs the Golden Eye,5.0,25,90,Fantasy
The Umbrella Fairy,5.5,54,95,Fantasy
A Song from the Dark,4.8,2200,105,Fantasy
Ienai Himitsu,6.8,66,115,Fantasy
Hiçbir Sey Normal Degil,6.1,72,71,Fantasy
Planet 7693,7.6,70,110,Fantasy
Penguin Girl,6.9,14,98,Fantasy
Videotheque,6.2,102,112,Fantasy
Lai zi wang xing de ni,6.4,42,105,Fantasy
Fushigi Dagashiya Zenitendo,7.3,17,103,Fantasy
Last Song for You,7.3,94,106,Fantasy
Turma da Mônica Jovem: Reflexos do Medo,2.8,258,88,Fantasy
Wandafuru Purikyua! Za mubi! Doki Doki Game no Sekai de Daiboken,7.0,35,71,Fantasy
Domovoy,4.3,289,102,Fantasy
Ella,9.2,65,91,Fantasy
The Beads,6.3,12,100,Fantasy
Formula vody,4.5,31,86,Fantasy
Nueva Tierra,7.6,30,123,Fantasy
Sun and Moon,5.0,5,163,Fantasy
Wedding Diaries,8.9,2000,121,Fantasy
Princess Halle and the Jester,4.8,61,71,Fantasy
River Returns,6.8,17,109,Fantasy
Pushpaka Vimana,5.6,16,137,Fantasy
The Worlds Divide,8.1,39,120,Fantasy
Wanderer,7.0,9,46,Fantasy
Vampire Genesis,4.4,36,105,Fantasy
Kami no Fude,6.5,13,74,Fantasy
Baba Yaga spasaet Novyy god,4.4,116,99,Fantasy
Mephisto,5.4,62,108,Fantasy
Bob a Bobek ve filmu: Na stope Mrkvojeda,7.7,24,80,Fantasy
Cedric & Alysia,5.2,52,84,Fantasy
Tri bogatyrya. Ni dnya bez podviga,5.7,67,61,Fantasy
Double Tuckerr,4.9,1200,120,Fantasy
Fidil Ghorm,7.8,7,86,Fantasy
Dead Dead Demon's Dededede Destruction Zenpen,7.1,140,120,Fantasy
Hakkenden,5.8,75,149,Fantasy
Naag Bhoomi,5.7,8,130,Fantasy
Horse with No Name,7.8,14,72,Fantasy
Maya Puthagam,5.4,424,122,Fantasy
Lilla spöket Laban spökar igen,6.2,26,44,Fantasy
Ognivo,5.5,226,105,Fantasy
Snake Skin Beauty,4.1,19,83,Fantasy
Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53,Fantasy
The Secret of Pin-Up Island,7.4,92,107,Fantasy
Fenómenos naturales,7.2,30,80,Fantasy
Two Breaths,8.2,22,18,Fantasy
Ebenezer: The Traveler,3.5,145,102,Fantasy
Aalan,5.5,1100,137,Fantasy
Salomé,6.6,6,115,Fantasy
Maxxie LaWow: Drag Super-shero,8.7,58,114,Fantasy
Les tempêtes,5.7,21,84,Fantasy
Soul Traveler (The Feature),4.2,22,96,Fantasy
Fragments of Us,7.8,10,49,Fantasy
Traces of Love,6.5,908,105,Fantasy
The Heartsmith,9.6,43,95,Fantasy
The Eye of the Salamander,7.9,20,81,Fantasy
Chhota Bheem and the Curse of Damyaan,4.8,2300,145,Fantasy
Dou Po Cangqiong 3: Chu E,4.7,8,81,Fantasy
Zapiski yunogo vracha,2.4,5,86,Fantasy
Nie Xiaoqian,6.2,17,112,Fantasy
Luo Fan Chen,6.8,154,118,Fantasy
Mother Maker Lover Taker,5.9,33,99,Fantasy
Bloodspawn,5.7,12,76,Fantasy
Joachim and the Apocalypse,7.2,13,90,Fantasy
Supersiostry,3.9,135,90,Fantasy
Apokrif,8.7,20,64,Fantasy
Samaya bolshaya luna,2.4,128,105,Fantasy
Witches of God,7.6,16,73,Fantasy
Yao Shen Ling,6.7,66,93,Fantasy
Vasilisa i khraniteli vremeni,3.1,68,98,Fantasy
Sunce nikad vise,7.0,25,72,Fantasy
Vidente por Acidente,4.9,74,93,Fantasy
Spin the Wheel,6.0,87,102,Fantasy
10/31 Part 4,5.6,17,87,Fantasy
Mortadella,8.4,6,90,Fantasy
Hua pi: qing mie,6.8,52,80,Fantasy
Sith Wars: Episódio III - Fantasmas Dos Sith,8.6,114,99,Fantasy
Hua qian gu,3.9,26,97,Fantasy
Achilles Curse and the Curse of Treasure,7.4,25,125,Fantasy
Keo=peul-ji-ok,5.3,7,94,Fantasy
"Fallen Leaves, Broken Lighters",7.7,7,96,Fantasy
Couple in the Woods,5.6,31,65,Fantasy
The Hunters,7.3,19,98,Fantasy
Wonderland,6.8,12,120,Fantasy
Advent,7.5,6,119,Fantasy
Blue Christmas,5.6,21,79,Fantasy
Tara - The Lost Star,9.6,11,90,Fantasy
LUDA,7.2,6,86,Fantasy
JAPA,7.7,16,110,Fantasy
Dracu Ra,5.4,37,106,Fantasy
Iron Nest of the Moon,7.6,13,70,Fantasy
Gato Galactico e o Feitiço do Tempo,7.7,69,85,Fantasy
Sahmeran Efsanesi-Tulhan,5.9,33,0,Fantasy
Chyortov kamen,6.4,10,105,Fantasy
Sharma & Ambani,9.1,183,104,Fantasy
Velký Pán,7.0,8,73,Fantasy
Code Duello: From the Tithebanner Saga,8.9,339,61,Fantasy
UnichtoZhanna,3.3,51,98,Fantasy
Once Upon a Princess,5.6,63,80,Fantasy
Kyle and the Last Emerald 2,8.4,7,15,Fantasy
Krapiva: Tsvetok smerti,6.1,56,81,Fantasy
Darker Than Night,4.7,24,82,Fantasy
Black Dragon,3.9,9,99,Fantasy
The Blinkless,7.8,12,59,Fantasy
IZLIYORLAR,7.2,29,113,Fantasy
Nebesko,5.2,10,73,Fantasy
And Through the Portal We Go,6.8,11,83,Fantasy
Host,6.4,20,80,Fantasy
Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,65,Fantasy
Xiao zi,3.5,12,101,Fantasy
Santa's Chimney of Secrets,4.6,23,66,Fantasy
Bicho Monstro,8.0,5,75,Fantasy
Let's Go! Anpanman: Baikinman and Lulun,6.5,7,64,Fantasy
I Am Moon,8.0,9,127,Fantasy
Mao yao qi tan,4.8,12,85,Fantasy
"Bryson, the Demon Slayer",4.5,12,59,Fantasy
Kyle and the Last Emerald,5.5,18,20,Fantasy
Kan dao ling hun de na zhi yan shi gong,3.3,12,124,Fantasy
Lucid Love,8.6,30,71,Fantasy
Cageling,5.9,8,69,Fantasy
